,PUBCHEM_CID,Canonical_smiles,Activity_score,Activity_outcome
96,5719932.0,CC1=CC(=C(C(=O)N1)C(=O)/C=C/C2=CC=CC3=CC=CC=C32)C,94.0,1
97,44825859.0,C1C2=CN=NN2C3=CC=CC=C3C(N1CC4=CC(=CC(=C4)Cl)Cl)C#N,94.0,1
98,22524940.0,CCC1=CC=C(C=C1)S(=O)(=O)/N=C/2\C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)O,94.0,1
99,62770.0,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl,94.0,1
100,12402750.0,C1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3)CC4=CC=C(C=C4)Cl)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,94.0,1
101,174343.0,CC1C(C(C(C(O1)C2=C3C(=C(C=C2)O)C(=CC4=C3OC(=O)C5=C4C(=CC(=C5)C)OC)OC)O)(C)O)O,94.0,1
102,421494.0,CCC1=C(CC2C3=CC(=C(C=C3CCN2C1)OC)OC)CC4C5=CC=CC=C5CCN4,94.0,1
103,16192971.0,CCCCCCCC[N+]1=CC=CC2=C1C=CC3=CC=CC=C32.[I-],94.0,1
104,2834427.0,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2C4=CC=C(C=C4)F)C)C(C)C.[Cl-],94.0,1
105,6603435.0,CCCCCCN1C2=C(CCC2)C(=N)C3=C1CCC3.Br,94.0,1
106,6245.0,C1=CN(C2=NC=NC(=C21)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,93.0,1
107,392754.0,C[N+]1=C(C=C2N1C3=CC=CC=C3C2=CC4=CC=C(C=C4)N(C)C)C5=CC=CC=C5.C(F)(F)(F)S(=O)(=O)[O-],93.0,1
108,252116.0,CC1=CC(=NC(=N1)NC(=NCCC2=CC=CC=C2)N)C,93.0,1
109,4605.0,CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,93.0,1
110,398175.0,CC1=[N+](N2C3=CC=CC=C3C(=CC4=CC=C(C=C4)N(C)C)C2=C1)C.C(F)(F)(F)S(=O)(=O)[O-],93.0,1
111,16403454.0,C[C@@H]1C2C(C[C@@H](O1)OC3CC[C@@]4([C@H]5CC[C@@]6([C@H](CC[C@@]6([C@@H]5CC[C@@]4(C3)O)O)C7=CC(=O)OC7)C)C=O)OC(O2)(C)C,93.0,1
112,2724385.0,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,93.0,1
113,16746083.0,C1=CC(=CC(=C1)Cl)NC2=NC=NC(=C2)C3=NC(=NC=C3)NCCCO,93.0,1
114,51360490.0,CC[C@@H]1CCC[C@H]([C@H](C(=O)O[C@@H]([C@H](C/C=C(/C(=C\C(=O)N(C(C(=O)N([C@H](C(=O)N([C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)N3CCC[C@H]3C(=O)O1)C(C)C)C)COC)C)C(C)C)C)[C@@H](C)CC)C)/OC)\C)C)C)C)O,93.0,1
115,4749.0,CC1C(C(C(C(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5C6=CC(=O)OC6)O)C)C=O)O)OC)O,93.0,1
116,659661.0,CC(C(F)(F)F)(C(F)(F)F)NC(=O)NC1=NN=C(S1)C(F)(F)F,93.0,1
117,2834416.0,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2C4=CC=C(C=C4)OC)C)C(C)C.[Cl-],93.0,1
118,16192927.0,CC[N+]1=C(SC2=CC=CC=C21)C=C3C=C(OC(=C3)C)C.[Cl-],93.0,1
119,373978.0,C1=C2C(=C(S1)C3C(C(C(O3)CO)O)O)N=CN=C2N,93.0,1
120,268761.0,CC(C)(C)NC(C1=CC=CC=C1)C(=C)C(=O)C2=CC=CC=C2,93.0,1
121,53301248.0,CCOC(=O)[C@]12CC3=C([C@H]1N(C(=O)C4=CC=CC=C24)C5CCCCC5)C=CC(=C3)Cl,93.0,1
122,2536883.0,COC1=C(C=CC(=C1)SC)C(=O)NC2=NC3=CC=CC=C3N2,92.0,1
123,2733867.0,CCN(CC)C1=CC2=[N+](C3=C(C=CC(=C3)N)N=C2C=C1)C4=CC=CC=C4.[Cl-],92.0,1
124,395175.0,C[N+]1=C(C=C2N1C3=CC=CC=C3C2=CC4=C(C=C(C=C4)N(C)C)OC)C5=CC=CC=C5.C(F)(F)(F)S(=O)(=O)[O-],92.0,1
125,407582.0,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5C6=CC(=O)OC6)O)C)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)OC(=O)C)O,92.0,1
126,2834638.0,CC1=CC2=C(C=C1)NC3=C2CCCC3NC(=O)CCl,92.0,1
127,45479870.0,CC[C@H]([C@H]1CC[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C(=O)[O-].O.[Na+],92.0,1
128,11352.0,C1=CC=C2C(=C1)C=C3C(=N2)C=CC=C3N,92.0,1
129,979629.0,COC1=CC=CC=C1C(=O)NC2=NC(=CS2)C3=CC=C(C=C3)S(=O)(=O)N4CCOCC4,92.0,1
130,16189758.0,CCCCCCCCN1C2=C(CCC2)C(=N)C3=CC=CC=C31.Br,92.0,1
131,6842.0,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.[Cl-],92.0,1
132,1072148.0,CC(=O)C1=C(C(=O)C2=CC=CC=C2C1=O)C3=CC=C(C=C3)Br,92.0,1
133,16196135.0,CN(C)C1=CC=C(C=C1)[N+]2=C(C=C(C=C2C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,92.0,1
134,288101.0,CC(=O)OC1CC2(C3CCC4CC(CCC4(C3CCC2(C1C5=CC(=O)OC5)C)C)O)O,92.0,1
135,53301277.0,CCOC(=O)[C@]12CC3=C([C@H]1N(C(=O)C4=C2C=CC(=C4)OC)C5CCCCC5)C=C(C=C3)C,92.0,1
136,4551824.0,C1COCCN1CCOC2=CC3=C(C=C2)C4=C(C3=NNC(=S)N)C=C(C=C4)OCCN5CCOCC5,92.0,1
137,402074.0,C[N+]1=C2C=CC=CC2=C3N1C4=CC=CC=C4C3=CC5=CC=C(C=C5)N(C)C.C(F)(F)(F)S(=O)(=O)[O-],92.0,1
138,3791776.0,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)OC(=O)CC(=O)C3=CC=CC=C3)C,92.0,1
139,16196151.0,CC1=CC(=C(C=C1)N2C3=[N+](C=C2C4=CC=CC=C4)C5=CC=CC=C5CC3)C.[Br-],92.0,1
140,1587345.0,CC1C/C(=C\C2=CN=CC=C2)/C(=O)/C(=C/C3=CN=CC=C3)/C1,91.0,1
141,52167.0,CC1CC2C(C(C3(C1C=CC3=O)C)O)C(=C)C(=O)O2,91.0,1
142,16196162.0,CC1CC(C[N+](=C2CC(CC(=C2)N3CCCC3)(C)C)C1)C.[I-],91.0,1
143,276294.0,CC1C(C(C(C(O1)OC2CCC3(C(C2)CCC4C3C(CC5(C4(CCC5C6=CC(=O)OC6)O)C)O)C)O)OC)O,91.0,1
144,16196382.0,CC1(CC(=CC(=[N+]2CCCCC2)C1)N(C)CC3=CC=CC=C3)C.[I-],91.0,1
145,12871037.0,CC[N+]1=CC=C(C2=CC=CC=C21)/C=C/C3=CC=C(C=C3)N(C)C.[I-],91.0,1
146,247955.0,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C#N,91.0,1
147,16196349.0,CC1=CC(=CC(=[N+]1C2=CC=CC=C2OC)C)/C=C\3/N(C4=CC=CC=C4S3)C.[I-],91.0,1
148,2831792.0,CCCCCN1C2=C(CCC2)C(=N)C3=CC=CC=C31.I,91.0,1
149,460747.0,CC1=NN(C2=NC(=O)N(C(=O)C2=N1)C)C,91.0,1
150,374010.0,CC1=C(C(=O)C2=C(C1=O)N3CCC(C3=N2)OC(=O)COC)NC(=O)C,91.0,1
151,6602959.0,C1CCC2=C(C1)C(=N)C3=C(N2CC4=CC(=C(C=C4)Cl)Cl)CCC3.Cl,91.0,1
152,2175947.0,CCC1C/C(=C\C2=CN=CC=C2)/C(=O)/C(=C/C3=CN=CC=C3)/C1,91.0,1
153,16193144.0,CC[N+]1=C2C=C(C=CC2=C(C=C1)/C=C/3\C=CC4=CC=CC=C4N3C)C,90.0,1
154,11972533.0,C1CN2CC3=CC4=C(C=C3[C@H]5C2C1=C[C@@H]([C@H]5O)O)OCO4.Cl,90.0,1
155,659822.0,CCC(C(F)(F)F)(C(F)(F)F)NC(=O)NC1=NN=C(S1)C(F)(F)F,90.0,1
156,24892261.0,C1=CC=C2C(=C1)C(=C3C=CC=CC3=[NH+]2)N.[Cl-],90.0,1
157,395179.0,CCOC(=O)C1=[N+](N2C3=CC=CC=C3C(=CC4=CC=C(C=C4)N(C)C)C2=C1)C.C(F)(F)(F)S(=O)(=O)[O-],90.0,1
158,2815175.0,C1COC2=C(C=C(C=C2)C(=O)CN3C(=O)C4=CC=CC=C4S3(=O)=O)OC1,90.0,1
159,12005562.0,CCOC1=CC=C(C=C1)N2C3=[N+](CCCCC3)C=C2C4=CC=C(C=C4)OC.[Br-],90.0,1
160,1881562.0,CC1=CC(=C(C=C1)N2C3=C(C=N2)C(=NC=N3)N4CCN(CC4)C5=CC(=CC=C5)OC)C,90.0,1
161,665013.0,CC(=O)C(C1=C2C(=C(C(=C1Cl)O)O)C(=CO2)C(=O)C3=CC=CC=C3)C(=O)C,90.0,1
162,788928.0,COC1=CC(=C(C=C1)C(=O)NC2=NC3=CC=CC=C3S2)OC,90.0,1
163,16196163.0,CC(C)C1=CC=C(C=C1)N2C3=[N+](C=C2C4=CC=CC=C4)C5=CC=CC=C5CC3.[Br-],90.0,1
164,135455077.0,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C2=NN3C4=CC=CC=C4[N+](=C3SC2)C.[Br-],90.0,1
165,16682556.0,CCN(CC)CC[N+]1=C(C=C(C=C1C)C2=CC=C(C=C2)OCC)C3=CC=C(C=C3)OCC.[O-]Cl(=O)(=O)=O,90.0,1
166,15945727.0,C1CCC2=C(C1)C(=N)C3=C(N2CC4=CC=C(C=C4)Br)CCC3.Br,90.0,1
167,1716838.0,C1=CC=C(C(=C1)C(=O)NC(C(F)(F)F)(C(F)(F)F)NC2=NC3=C(S2)C=C(C=C3)[N+](=O)[O-])Cl,90.0,1
168,335091.0,CC1=CC2CC(C(=C2C(=O)CC(CCC=CCC(NC(=O)C=CC=C1)C3=CC=CC=C3)O)O)OC,90.0,1
169,16682136.0,CCCCCCCCCCCCN1C=CC(=N)C=C1.Br,90.0,1
170,16196328.0,CC1(CC(=CC(=[N+]2CCCC2)C1)N(C)CC3=CC=CC=C3)C.[I-],90.0,1
171,135401264.0,CN=C1N(C(=CS1)C2=CC=CS2)/N=C/C3=CC=CC=C3O,89.0,1
172,4274774.0,CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C)O,89.0,1
173,1472220.0,COC1=NC=C(C=C1)NC(=O)/C(=C(\S(=O)CC2=CC=C(C=C2)Cl)/Cl)/Cl,89.0,1
